distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
2310.0,149.26244791411952,231149.2624479141,-231149.2624479141,-231061.2624479141,0.0
2320.0,149.29996801409462,232149.2999680141,-232149.2999680141,-232061.2999680141,0.0
2330.0,149.337326736797,233149.3373267368,-233149.3373267368,-233061.3373267368,0.0
2340.0,149.3745254644795,234149.3745254645,-234149.3745254645,-234061.3745254645,0.0
2350.0,149.41156556171134,235149.41156556172,-235149.41156556172,-235061.41156556172,0.0
2360.0,149.44844837567877,236149.44844837568,-236149.44844837568,-236061.44844837568,0.0
2370.0,149.4851752364787,237149.48517523648,-237149.48517523648,-237061.48517523648,0.0
2380.0,149.52174745740686,238149.52174745742,-238149.52174745742,-238061.52174745742,0.0
2390.0,149.55816633523938,239149.55816633525,-239149.55816633525,-239061.55816633525,0.0
2400.0,149.59443315050873,240149.59443315052,-240149.59443315052,-240061.59443315052,0.0
2410.0,149.63054916777398,241149.63054916778,-241149.63054916778,-241061.63054916778,0.0
2420.0,149.66651563588525,242149.66651563588,-242149.66651563588,-242061.66651563588,0.0
2430.0,149.70233378824287,243149.70233378824,-243149.70233378824,-243061.70233378824,0.0
2440.0,149.73800484305121,244149.73800484306,-244149.73800484306,-244061.73800484306,0.0
2450.0,149.77353000356726,245149.77353000356,-245149.77353000356,-245061.77353000356,0.0
2460.0,149.8089104583442,246149.80891045835,-246149.80891045835,-246061.80891045835,0.0
2470.0,149.84414738146992,247149.84414738146,-247149.84414738146,-247061.84414738146,0.0
2480.0,149.87924193280097,248149.8792419328,-248149.8792419328,-248061.8792419328,0.0
2490.0,149.91419525819134,249149.9141952582,-249149.9141952582,-249061.9141952582,0.0
2500.0,149.94900848971736,250149.94900848973,-250149.94900848973,-250061.94900848973,0.0
2510.0,149.9836827458974,251149.9836827459,-251149.9836827459,-251061.9836827459,0.0
2520.0,150.0182191319075,252150.01821913192,-252150.01821913192,-252062.01821913192,0.0
2530.0,150.052618739793,253150.0526187398,-253150.0526187398,-253062.0526187398,0.0
2540.0,150.08688264867538,254150.08688264867,-254150.08688264867,-254062.08688264867,0.0
2550.0,150.12101192495572,255150.12101192496,-255150.12101192496,-255062.12101192496,0.0
2560.0,150.1550076225136,256150.15500762252,-256150.15500762252,-256062.15500762252,0.0
2570.0,150.1888707829025,257150.1888707829,-257150.1888707829,-257062.1888707829,0.0
2580.0,150.2226024355412,258150.22260243553,-258150.22260243553,-258062.22260243553,0.0
2590.0,150.25620359790165,259150.2562035979,-259150.2562035979,-259062.2562035979,0.0
2600.0,150.28967527569299,260150.28967527568,-260150.28967527568,-260062.28967527568,0.0
2610.0,150.32301846304225,261150.32301846304,-261150.32301846304,-261062.32301846304,0.0
2620.0,150.35623414267152,262150.3562341427,-262150.3562341427,-262062.35623414267,0.0
2630.0,150.38932328607177,263150.3893232861,-263150.3893232861,-263062.3893232861,0.0
2640.0,150.42228685367326,264150.42228685366,-264150.42228685366,-264062.42228685366,0.0
