distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
2540.0,150.08688264867538,381150.0868826487,-381150.0868826487,-381062.0868826487,1e-10,0.0,1
2550.0,150.12101192495572,382650.12101192493,-382650.12101192493,-382562.12101192493,1e-10,0.0,1
2560.0,150.1550076225136,384150.1550076225,-384150.1550076225,-384062.1550076225,1e-10,0.0,1
2570.0,150.1888707829025,385650.1888707829,-385650.1888707829,-385562.1888707829,1e-10,0.0,1
2580.0,150.2226024355412,387150.22260243556,-387150.22260243556,-387062.22260243556,1e-10,0.0,1
2590.0,150.25620359790165,388650.2562035979,-388650.2562035979,-388562.2562035979,1e-10,0.0,1
2600.0,150.28967527569299,390150.2896752757,-390150.2896752757,-390062.2896752757,1e-10,0.0,1
2610.0,150.32301846304225,391650.32301846304,-391650.32301846304,-391562.32301846304,1e-10,0.0,1
2620.0,150.35623414267152,393150.3562341427,-393150.3562341427,-393062.3562341427,1e-10,0.0,1
2630.0,150.38932328607177,394650.3893232861,-394650.3893232861,-394562.3893232861,1e-10,0.0,1
2640.0,150.42228685367326,396150.42228685366,-396150.42228685366,-396062.42228685366,1e-10,0.0,1
2650.0,150.45512579501278,397650.45512579504,-397650.45512579504,-397562.45512579504,1e-10,0.0,1
2660.0,150.48784104889796,399150.4878410489,-399150.4878410489,-399062.4878410489,1e-10,0.0,1
2670.0,150.52043354356815,400650.52043354354,-400650.52043354354,-400562.52043354354,1e-10,0.0,1
2680.0,150.5529041968524,402150.55290419684,-402150.55290419684,-402062.55290419684,1e-10,0.0,1
2690.0,150.5852539163248,403650.58525391633,-403650.58525391633,-403562.58525391633,1e-10,0.0,1
2700.0,150.61748359945636,405150.61748359946,-405150.61748359946,-405062.61748359946,1e-10,0.0,1
2710.0,150.64959413376474,406650.6495941338,-406650.6495941338,-406562.6495941338,1e-10,0.0,1
2720.0,150.6815863969606,408150.68158639694,-408150.68158639694,-408062.68158639694,1e-10,0.0,1
2730.0,150.71346125709175,409650.7134612571,-409650.7134612571,-409562.7134612571,1e-10,0.0,1
2740.0,150.7452195726844,411150.7452195727,-411150.7452195727,-411062.7452195727,1e-10,0.0,1
2750.0,150.77686219288188,412650.7768621929,-412650.7768621929,-412562.7768621929,1e-10,0.0,1
