distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB
340.0,0.34,0.40959564769077883,0.11964382874892916,0.30962284345742963,0.8388623198971377
350.0,0.35,0.4216425785052135,0.12617414464644094,0.30962284345742963,0.857439566609084
360.0,0.36,0.4336895093196481,0.1328618226701688,0.30962284345742963,0.8761741754472465
370.0,0.37,0.4457364401340828,0.13970612560015336,0.30962284345742963,0.8950654091916658
380.0,0.38,0.4577833709485175,0.14670633973601355,0.30962284345742963,0.9141125541419607
390.0,0.39,0.4698303017629522,0.15386177354030278,0.30962284345742963,0.9333149187606846
400.0,0.4,0.48187723257738685,0.16117175639329714,0.30962284345742963,0.9526718324281136
410.0,0.41,0.4939241633918215,0.16863563744746357,0.30962284345742963,0.9721826442967146
420.0,0.42,0.5059710942062562,0.17625278457136626,0.30962284345742963,0.9918467222350521
430.0,0.43,0.5180180250206908,0.18402258337404345,0.30962284345742963,1.0116634518521639
440.0,0.44,0.5300649558351255,0.19194443630198477,0.30962284345742963,1.03163223559454
450.0,0.45,0.5421118866495602,0.20001776180174186,0.30962284345742963,1.0517524919087315
460.0,0.46,0.5541588174639949,0.20824199354206085,0.30962284345742963,1.0720236544634854
470.0,0.47,0.5662057482784295,0.21661657969007297,0.30962284345742963,1.0924451714259322
480.0,0.48,0.5782526790928642,0.22514098223670953,0.30962284345742963,1.1130165047870033
490.0,0.49,0.5902996099072989,0.2338146763670389,0.30962284345742963,1.1337371297317675
500.0,0.5,0.6023465407217335,0.2426371498716545,0.30962284345742963,1.1546065340508176
510.0,0.51,0.6143934715361682,0.2516079025956755,0.30962284345742963,1.1756242175892733
520.0,0.52,0.6264404023506029,0.2607264459222538,0.30962284345742963,1.1967896917302863
530.0,0.53,0.6384873331650376,0.2699923022877979,0.30962284345742963,1.2181024789102652
540.0,0.54,0.6505342639794722,0.27940500472640567,0.30962284345742963,1.2395621121633074
550.0,0.55,0.662581194793907,0.28896409644122856,0.30962284345742963,1.2611681346925652
560.0,0.56,0.6746281256083416,0.2986691304007091,0.30962284345742963,1.2829200994664802
570.0,0.57,0.6866750564227762,0.3085196689578324,0.30962284345742963,1.3048175688380383
