distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
3220.0,0.2,2797.8920000000003,-2787.8920000000003,-2688.8920000000003,0.0
3230.0,0.2,2806.578,-2796.578,-2697.578,0.0
3240.0,0.2,2815.264,-2805.264,-2706.264,0.0
3250.0,0.2,2823.9500000000003,-2813.9500000000003,-2714.9500000000003,0.0
3260.0,0.2,2832.636,-2822.636,-2723.636,0.0
3270.0,0.2,2841.322,-2831.322,-2732.322,0.0
3280.0,0.2,2850.0080000000003,-2840.0080000000003,-2741.0080000000003,0.0
3290.0,0.2,2858.694,-2848.694,-2749.694,0.0
3300.0,0.2,2867.38,-2857.38,-2758.38,0.0
3310.0,0.2,2876.0660000000003,-2866.0660000000003,-2767.0660000000003,0.0
3320.0,0.2,2884.752,-2874.752,-2775.752,0.0
3330.0,0.2,2893.438,-2883.438,-2784.438,0.0
3340.0,0.2,2902.1240000000003,-2892.1240000000003,-2793.1240000000003,0.0
3350.0,0.2,2910.81,-2900.81,-2801.81,0.0
3360.0,0.2,2919.496,-2909.496,-2810.496,0.0
3370.0,0.2,2928.1820000000002,-2918.1820000000002,-2819.1820000000002,0.0
3380.0,0.2,2936.868,-2926.868,-2827.868,0.0
3390.0,0.2,2945.554,-2935.554,-2836.554,0.0
3400.0,0.2,2954.2400000000002,-2944.2400000000002,-2845.2400000000002,0.0
3410.0,0.2,2962.926,-2952.926,-2853.926,0.0
3420.0,0.2,2971.612,-2961.612,-2862.612,0.0
3430.0,0.2,2980.2980000000002,-2970.2980000000002,-2871.2980000000002,0.0
3440.0,0.2,2988.984,-2978.984,-2879.984,0.0
3450.0,0.2,2997.67,-2987.67,-2888.67,0.0
3460.0,0.2,3006.356,-2996.356,-2897.356,0.0
3470.0,0.2,3015.042,-3005.042,-2906.042,0.0
3480.0,0.2,3023.728,-3013.728,-2914.728,0.0
3490.0,0.2,3032.414,-3022.414,-2923.414,0.0
3500.0,0.2,3041.1,-3031.1,-2932.1,0.0
3510.0,0.2,3049.786,-3039.786,-2940.786,0.0
3520.0,0.2,3058.472,-3048.472,-2949.472,0.0
3530.0,0.2,3067.1580000000004,-3057.1580000000004,-2958.1580000000004,0.0
3540.0,0.2,3075.844,-3065.844,-2966.844,0.0
3550.0,0.2,3084.53,-3074.53,-2975.53,0.0
3560.0,0.2,3093.2160000000003,-3083.2160000000003,-2984.2160000000003,0.0
3570.0,0.2,3101.902,-3091.902,-2992.902,0.0
3580.0,0.2,3110.588,-3100.588,-3001.588,0.0
3590.0,0.2,3119.2740000000003,-3109.2740000000003,-3010.2740000000003,0.0
3600.0,0.2,3127.96,-3117.96,-3018.96,0.0
3610.0,0.2,3136.646,-3126.646,-3027.646,0.0
3620.0,0.2,3145.3320000000003,-3135.3320000000003,-3036.3320000000003,0.0
3630.0,0.2,3154.018,-3144.018,-3045.018,0.0
3640.0,0.2,3162.704,-3152.704,-3053.704,0.0
3650.0,0.2,3171.3900000000003,-3161.3900000000003,-3062.3900000000003,0.0
3660.0,0.2,3180.076,-3170.076,-3071.076,0.0
3670.0,0.2,3188.762,-3178.762,-3079.762,0.0
3680.0,0.2,3197.4480000000003,-3187.4480000000003,-3088.4480000000003,0.0
